授業コード,講義名,種別,対象コース,担当教員,コマ数,推定受講者数,開講期,特定使用教室,連続数
0001,lecture_0001,選択,"A,P,AS,F","高槻,横山,双海,天海",1,200,2,,
0002,lecture_0002,選択,AS,"白石,teacher_N,周防,青羽",2,80,2,,2.0
0003,lecture_0003,選択,A,"七尾,水瀬,音無",1,100,2,,
0004,lecture_0004,選択,P,福田,1,70,2,,
0005,lecture_0005,選択,"P,F,AS",秋月,1,80,2,,
0006,lecture_0006,選択,A,"三浦,双海,Stewart",1,80,2,,
0007,lecture_0007,選択,"AS,F,A,P","佐竹,中谷",3,80,2,,3.0
0008,lecture_0008,選択,AS,"菊池,宮尾",1,70,2,,
0009,lecture_0009,選択,AS,"篠宮,professor_G,如月",1,70,2,,
0010,lecture_0010,必須,"AS,F",水瀬,1,70,2,,
0011,lecture_0011,選択,P,teacher_I,1,70,2,,
0012,lecture_0012,選択,F,"木下,高山,天空橋",1,70,2,,
0013,lecture_0013,選択,A,"professor_F,田中,横山",1,70,1,,
0014,lecture_0014,選択,AS,"七尾,天海,矢吹,青羽",1,70,3,,
0015,lecture_0015,必須,"P,A,F","真壁,双海,Stewart,teacher_L",1,70,1,,
0016,lecture_0016,選択,"F,AS,P,A","田中,周防,teacher_H",1,300,1,,
0017,lecture_0017,選択,"A,P,AS,F","秋月,professor_G",3,80,2,,3.0
0018,lecture_0018,選択,"AS,P",馬場,1,80,2,,
0019,lecture_0019,選択,"P,F,A","四条,北沢,春日,星井",2,70,2,,2.0
0020,lecture_0020,必須,"A,F","菊池,宮尾,矢吹",1,80,2,,
0021,lecture_0021,選択,P,伴田,1,80,2,,
0022,lecture_0022,必須,AS,"矢吹,春日,高木",1,80,1,E号館_007,
0023,lecture_0023,必須,P,"teacher_L,黒井,野々原",1,70,1,,
0024,lecture_0024,選択,F,"高山,高坂,白石,professor_D",1,80,2,,
0025,lecture_0025,選択,AS,"桜守,真壁,水瀬,天空橋",1,300,2,,
0026,lecture_0026,選択,A,professor_C,1,70,2,,
0027,lecture_0027,選択,A,"秋月,professor_F,星井,二階堂",1,70,2,,
0028,lecture_0028,選択,F,"青羽,秋月,真壁",1,70,2,,
0029,lecture_0029,選択,A,"黒井,望月",1,70,1,,
0030,lecture_0030,選択,P,"大神,天海,高木,豊川",1,70,1,,
0031,lecture_0031,選択,P,"福田,水瀬,Julia",1,100,2,,
0032,lecture_0032,必須,"AS,F,A,P",真壁,1,80,1,,
0033,lecture_0033,必須,F,"水瀬,青羽,篠宮,teacher_M",1,70,2,,
0034,lecture_0034,選択,"P,A,AS,F","白石,高木",1,70,1,,
0035,lecture_0035,選択,F,"青羽,Stewart",2,70,1,,2.0
0036,lecture_0036,選択,AS,"最上,佐竹",1,100,2,,
0037,lecture_0037,選択,P,"高木,白石",1,70,1,,
0038,lecture_0038,選択,F,"高山,teacher_J,佐竹",1,70,2,,
0039,lecture_0039,選択,A,"松田,teacher_I,田中,天空橋",1,70,1,,
0040,lecture_0040,選択,F,"白石,天海,馬場",2,100,1,,2.0
0041,lecture_0041,選択,F,"gengen,青羽,高坂,水瀬",1,70,1,,
0042,lecture_0042,選択,AS,"四条,professor_G,青羽,矢吹",1,70,2,,
0043,lecture_0043,選択,P,伴田,1,70,1,,
0044,lecture_0044,選択,A,"大神,teacher_L",1,100,2,,
0045,lecture_0045,選択,"F,P,A","professor_F,舞浜,春日",1,70,2,,
0046,lecture_0046,選択,AS,豊川,1,70,2,,
0047,lecture_0047,選択,AS,"宮尾,四条,gengen",1,80,1,,
0048,lecture_0048,選択,"F,A,AS,P","高坂,如月,福田,天海",1,70,1,,
0049,lecture_0049,必須,"F,A,AS","桜守,北上,professor_A",1,80,2,,
0050,lecture_0050,選択,"A,AS","teacher_K,音無",2,50,1,,2.0
0051,lecture_0051,必須,"A,F,P,AS","白石,春日,北上",1,70,2,,
0052,lecture_0052,必須,F,"professor_E,宮尾",1,100,2,,
0053,lecture_0053,選択,"F,P",teacher_H,1,70,1,,
0054,lecture_0054,選択,F,"大神,豊川",1,80,1,,
0055,lecture_0055,選択,F,"徳川,三浦",1,70,1,,
0056,lecture_0056,選択,"P,A,AS","黒井,professor_G,如月",1,70,1,,
0057,lecture_0057,選択,"A,P,AS",春日,1,200,1,,
0058,lecture_0058,選択,A,"teacher_H,舞浜",1,100,1,,
0059,lecture_0059,選択,F,桜守,1,70,1,,
0060,lecture_0060,必須,"P,F,A,AS","teacher_L,我那覇",1,100,2,,
0061,lecture_0061,選択,P,"Stewart,最上,teacher_N,二階堂",1,70,2,,
0062,lecture_0062,選択,"F,P,A","菊池,黒井,伴田",1,100,3,,
0063,lecture_0063,選択,AS,"佐竹,篠宮,黒井",1,70,1,,
0064,lecture_0064,選択,"P,F,AS","双海,馬場",1,100,2,,
0065,lecture_0065,選択,P,"professor_B,真壁",1,70,1,,
0066,lecture_0066,選択,"F,A,AS,P","我那覇,篠宮,真壁,最上",1,80,1,,
0067,lecture_0067,選択,"A,P,AS,F","teacher_L,所,中谷",1,80,1,,
0068,lecture_0068,選択,AS,"teacher_K,gengen,teacher_H",1,70,2,,
0069,lecture_0069,選択,AS,"舞浜,徳川,横山,三浦",1,70,1,,
0070,lecture_0070,選択,F,"teacher_L,天海",1,70,1,,
0071,lecture_0071,選択,AS,"島原,福田,高木",1,80,1,,
0072,lecture_0072,必須,F,"北上,四条,島原,春日",1,70,2,,
0073,lecture_0073,選択,A,"佐竹,天海,teacher_M",1,70,1,,
0074,lecture_0074,選択,"F,AS","所,音無",1,200,1,,
0075,lecture_0075,選択,F,"永吉,豊川,北上,teacher_H",1,200,2,,
0076,lecture_0076,選択,F,"高山,周防",1,70,2,,
0077,lecture_0077,選択,"A,F,P","二階堂,横山,春日,双海",1,200,2,,
0078,lecture_0078,選択,AS,"萩原,北沢",1,70,2,,
0079,lecture_0079,必須,"A,AS","馬場,teacher_N",1,100,2,,
0080,lecture_0080,選択,P,"四条,professor_C,横山",1,150,2,,
0081,lecture_0081,選択,P,professor_B,1,150,1,,
0082,lecture_0082,選択,"P,A,AS,F",水瀬,1,100,1,,
0083,lecture_0083,必須,"P,F,AS,A","野々原,天海",1,70,2,,
0084,lecture_0084,選択,A,音無,1,80,2,,
0085,lecture_0085,選択,A,"望月,professor_E,菊池",1,70,2,,
0086,lecture_0086,選択,"F,P","矢吹,teacher_H",1,200,1,,
0087,lecture_0087,必須,F,"箱崎,teacher_L",1,70,2,,
0088,lecture_0088,選択,AS,"篠宮,馬場,高槻,佐竹",1,70,1,,
0089,lecture_0089,選択,"AS,P,F","豊川,春日,周防",1,80,3,,
0090,lecture_0090,選択,"P,A,AS,F","豊川,春日,teacher_M",1,150,1,,
0091,lecture_0091,選択,F,"天空橋,professor_E,松田,篠宮",2,70,1,,2.0
0092,lecture_0092,選択,"F,AS,A","百瀬,永吉,gengen,馬場",1,100,1,,
0093,lecture_0093,選択,"A,AS,P","星井,teacher_K,中谷",1,80,2,,
0094,lecture_0094,選択,F,"最上,professor_E",1,70,1,,
0095,lecture_0095,選択,"A,F","舞浜,teacher_H",1,80,2,,
0096,lecture_0096,選択,P,中谷,1,150,2,,
0097,lecture_0097,選択,"A,AS,P,F","七尾,三浦,我那覇",1,70,1,,
0098,lecture_0098,必須,F,"望月,伊吹",1,70,1,,
0099,lecture_0099,選択,A,"春日,舞浜",1,80,1,,
0100,lecture_0100,選択,"P,A","秋月,teacher_L,横山,星井",1,50,1,,
0101,lecture_0101,選択,P,天海,1,70,2,,
0102,lecture_0102,選択,AS,"北上,所",1,80,2,,
0103,lecture_0103,必須,"A,F,P","Stewart,箱崎",1,70,1,,
0104,lecture_0104,選択,"A,AS,F,P","宮尾,大神,teacher_N",1,70,2,,
0105,lecture_0105,選択,"AS,F","七尾,高槻,矢吹,白石",1,80,2,,
0106,lecture_0106,必須,P,"teacher_K,野々原,北沢,teacher_L",1,50,2,,
0107,lecture_0107,選択,A,"野々原,gengen,徳川,佐竹",1,70,2,,
0108,lecture_0108,必須,AS,"舞浜,professor_D,佐竹,teacher_I",1,70,1,,
0109,lecture_0109,選択,"P,A","周防,舞浜",1,100,2,,
0110,lecture_0110,選択,"A,AS,P","宮尾,三浦",2,70,1,,2.0
0111,lecture_0111,選択,A,"望月,伴田,箱崎,星井",1,70,1,,
0112,lecture_0112,選択,A,"宮尾,天空橋,teacher_I,Julia",1,80,1,,
0113,lecture_0113,選択,"AS,A,P,F","箱崎,音無,永吉,秋月",1,70,2,,
0114,lecture_0114,選択,"AS,A,P","真壁,春日",1,70,3,,
0115,lecture_0115,選択,"A,F,P","北沢,矢吹",2,70,1,,2.0
0116,lecture_0116,選択,"AS,F,A,P","professor_D,北上",1,80,2,,
0117,lecture_0117,選択,AS,如月,1,80,2,,
0118,lecture_0118,選択,AS,"北上,馬場,四条,三浦",2,70,1,,2.0
0119,lecture_0119,選択,AS,"teacher_N,天海",1,80,1,,
0120,lecture_0120,選択,"A,AS","萩原,最上,teacher_L,professor_G",1,70,2,,
0121,lecture_0121,必須,AS,高山,1,70,2,,
0122,lecture_0122,選択,"A,P,AS","伴田,徳川",2,70,2,,2.0
0123,lecture_0123,選択,F,"桜守,徳川",1,200,1,,
0124,lecture_0124,選択,AS,高槻,1,100,2,,
0125,lecture_0125,選択,AS,"青羽,高木,我那覇",1,70,1,,
0126,lecture_0126,選択,"A,AS","青羽,篠宮,望月,teacher_H",1,70,2,,
0127,lecture_0127,選択,"P,A","水瀬,teacher_H,professor_G",1,100,1,,
0128,lecture_0128,選択,"AS,F","田中,teacher_H,春日",2,80,1,,2.0
0129,lecture_0129,選択,A,"高山,田中",1,70,2,,
0130,lecture_0130,選択,F,"伴田,桜守",1,80,1,,
0131,lecture_0131,必須,A,黒井,2,70,2,,2.0
0132,lecture_0132,選択,"AS,P,A,F","Julia,teacher_L,teacher_H",1,100,2,,
0133,lecture_0133,選択,"F,P","天海,所",1,100,1,,
0134,lecture_0134,選択,P,"teacher_K,野々原,音無,松田",1,200,1,,
0135,lecture_0135,選択,F,"teacher_J,我那覇,田中",1,50,1,,
0136,lecture_0136,選択,"AS,F","professor_C,teacher_I,春日,professor_D",1,70,2,,
0137,lecture_0137,選択,"A,AS,F",伊吹,1,80,1,,
0138,lecture_0138,選択,"F,AS,A","菊池,望月,teacher_J",1,70,1,,
0139,lecture_0139,選択,"P,F","百瀬,星井,四条,Julia",1,100,1,,
0140,lecture_0140,選択,P,"二階堂,中谷",1,70,2,,
0141,lecture_0141,選択,AS,"矢吹,高坂,professor_A",1,70,1,,
0142,lecture_0142,選択,F,馬場,1,50,1,,
0143,lecture_0143,必須,A,"伴田,舞浜,周防",1,100,2,,
0144,lecture_0144,選択,"AS,P,A","北上,黒井",1,50,1,,
0145,lecture_0145,選択,F,"周防,野々原",1,70,1,,
0146,lecture_0146,選択,P,"professor_B,桜守,横山,周防",1,100,2,,
0147,lecture_0147,選択,"A,F","横山,天海,高木",1,70,1,,
0148,lecture_0148,選択,"F,P,A","箱崎,professor_G",1,70,3,,
0149,lecture_0149,選択,P,"舞浜,福田,四条,teacher_K",1,70,1,,
0150,lecture_0150,選択,AS,菊池,2,70,1,,2.0
0151,lecture_0151,必須,AS,gengen,1,70,3,,
0152,lecture_0152,選択,"A,F,P,AS","teacher_K,周防",1,70,2,,
0153,lecture_0153,選択,F,"三浦,松田",1,80,1,,
0154,lecture_0154,選択,P,teacher_K,1,70,1,,
0155,lecture_0155,選択,"P,AS","三浦,馬場",1,70,1,,
0156,lecture_0156,選択,"P,A,F,AS","菊池,高木,福田",1,70,2,,
0157,lecture_0157,必須,A,"福田,professor_A",1,70,2,,
0158,lecture_0158,選択,F,Julia,1,80,1,,
0159,lecture_0159,必須,"F,AS,A,P","篠宮,双海,箱崎,伴田",3,300,1,,
0160,lecture_0160,選択,"P,F,A,AS","最上,菊池,如月",1,80,1,,
0161,lecture_0161,選択,"P,AS,F","矢吹,水瀬,星井",1,50,1,,
0162,lecture_0162,必須,"P,A,AS,F","島原,teacher_K,Julia",1,70,2,,
0163,lecture_0163,選択,A,大神,2,70,2,,2.0
0164,lecture_0164,選択,A,"箱崎,大神,高槻",1,80,2,,
0165,lecture_0165,選択,AS,"professor_E,天空橋",1,80,2,,
0166,lecture_0166,選択,AS,"徳川,福田",1,300,1,,
0167,lecture_0167,選択,P,"teacher_J,teacher_I,白石,田中",1,70,2,,
0168,lecture_0168,選択,F,"teacher_K,篠宮,伴田,gengen",1,100,1,,
0169,lecture_0169,選択,F,professor_A,1,100,1,E号館_007,
0170,lecture_0170,選択,AS,"黒井,professor_B,Stewart,北上",1,80,2,,
0171,lecture_0171,選択,P,"秋月,professor_D,teacher_I,professor_E",1,70,1,,
0172,lecture_0172,選択,F,"高木,teacher_J,大神",1,70,1,,
0173,lecture_0173,選択,A,福田,1,200,1,,
0174,lecture_0174,必須,"F,AS",高木,1,70,2,,
0175,lecture_0175,必須,"AS,F",Stewart,1,100,1,,
0176,lecture_0176,選択,A,"星井,春日,天海,Julia",1,80,2,E号館_007,
0177,lecture_0177,選択,P,"professor_E,木下,如月",1,70,1,,
0178,lecture_0178,選択,AS,"双海,professor_F,三浦,teacher_K",1,100,2,,
0179,lecture_0179,必須,AS,"北上,所",1,70,1,,
0180,lecture_0180,選択,"P,AS","横山,天海,三浦",1,80,2,,
0181,lecture_0181,必須,P,"天空橋,黒井",1,70,1,,
0182,lecture_0182,必須,A,teacher_K,1,100,1,,
0183,lecture_0183,選択,"A,AS,F,P","矢吹,天空橋,佐竹,七尾",2,70,2,,2.0
0184,lecture_0184,選択,A,"Stewart,北沢",1,70,1,,
0185,lecture_0185,選択,F,"秋月,professor_A",1,70,1,,
0186,lecture_0186,選択,AS,"teacher_M,桜守",1,200,2,,
0187,lecture_0187,選択,"P,A","青羽,伊吹,大神",1,100,2,,
0188,lecture_0188,選択,AS,"菊池,高木,百瀬",1,70,1,,
0189,lecture_0189,選択,"F,P","篠宮,teacher_H,北上,Stewart",1,70,1,,
0190,lecture_0190,選択,AS,"音無,篠宮,秋月,徳川",1,70,1,,
0191,lecture_0191,選択,F,島原,1,200,2,,
0192,lecture_0192,選択,F,"teacher_J,我那覇",1,80,1,,
0193,lecture_0193,選択,"F,P,AS","箱崎,水瀬,高山",2,50,2,,2.0
0194,lecture_0194,選択,F,"professor_E,木下",1,70,2,,
0195,lecture_0195,選択,A,"徳川,矢吹,teacher_M,Julia",1,70,2,,
0196,lecture_0196,必須,P,"青羽,徳川,音無",1,70,1,,
0197,lecture_0197,選択,P,真壁,1,100,2,,
0198,lecture_0198,選択,"AS,F,A","伊吹,徳川,我那覇",1,70,1,,
0199,lecture_0199,選択,A,"舞浜,宮尾",1,50,1,,
0200,lecture_0200,選択,"AS,A,P,F","gengen,豊川,北沢,水瀬",1,70,1,,
0201,lecture_0201,選択,"F,P,A,AS","秋月,高木",1,80,2,,
0202,lecture_0202,選択,"F,AS,P","桜守,双海,professor_A",1,100,2,,
0203,lecture_0203,選択,A,"天海,高坂",2,70,2,,2.0
0204,lecture_0204,選択,"P,AS","professor_D,天空橋,馬場,伴田",2,70,2,,2.0
0205,lecture_0205,選択,A,"馬場,望月,星井,七尾",1,100,2,,
0206,lecture_0206,選択,A,"水瀬,professor_D",1,80,1,,
0207,lecture_0207,選択,"F,P,A",百瀬,1,70,1,,
0208,lecture_0208,選択,"AS,F","四条,我那覇,professor_B",1,70,2,,
0209,lecture_0209,選択,F,篠宮,2,80,1,,2.0
0210,lecture_0210,必須,"AS,A,P,F","伊吹,professor_B",1,100,2,,
0211,lecture_0211,選択,AS,"高槻,我那覇,青羽",1,70,2,,
0212,lecture_0212,必須,P,"高木,青羽,三浦",1,300,2,,
0213,lecture_0213,選択,F,"二階堂,野々原,我那覇",1,70,1,,
0214,lecture_0214,選択,"AS,P,F,A","桜守,professor_B",1,70,1,,
0215,lecture_0215,選択,"AS,P,F,A","高槻,星井,永吉",1,100,2,,
0216,lecture_0216,選択,A,"松田,双海,teacher_M,福田",1,100,1,,
0217,lecture_0217,必須,A,teacher_I,1,70,2,,
0218,lecture_0218,選択,F,"福田,北上,professor_D,高木",1,150,2,,
0219,lecture_0219,選択,F,"宮尾,professor_C,teacher_J",1,100,2,,
0220,lecture_0220,必須,A,"高木,三浦,北上",1,100,2,,
0221,lecture_0221,選択,"P,AS,F","永吉,三浦",1,70,2,,
0222,lecture_0222,選択,A,"萩原,双海,真壁",1,70,2,,
0223,lecture_0223,必須,"P,A,F","星井,野々原,teacher_J,周防",1,70,1,,
0224,lecture_0224,選択,AS,"望月,professor_E,松田,北沢",2,50,2,,2.0
0225,lecture_0225,選択,A,"矢吹,白石,我那覇",1,70,2,,
0226,lecture_0226,選択,F,"天海,professor_A,professor_E",1,70,2,,
0227,lecture_0227,必須,F,professor_E,2,70,1,,
0228,lecture_0228,必須,"AS,F,P","professor_E,田中,水瀬",2,70,1,,
0229,lecture_0229,選択,A,伊吹,1,70,1,,
0230,lecture_0230,選択,F,"teacher_I,teacher_H,豊川,四条",1,100,2,,
0231,lecture_0231,選択,"P,AS","高木,teacher_K",2,300,2,,
0232,lecture_0232,選択,F,"teacher_K,高坂",1,50,2,,
0233,lecture_0233,選択,"AS,P,F,A","Julia,professor_E",1,50,1,,
0234,lecture_0234,選択,P,"周防,北上",1,70,2,,
0235,lecture_0235,選択,"AS,F,P,A","舞浜,三浦,我那覇",1,70,1,,
0236,lecture_0236,選択,F,天空橋,1,100,2,,
0237,lecture_0237,選択,F,"双海,professor_G,望月,teacher_M",2,80,1,,
0238,lecture_0238,選択,"P,A","福田,天空橋,professor_G,professor_D",1,70,1,,
0239,lecture_0239,選択,"A,P","馬場,高山",1,100,2,,
0240,lecture_0240,必須,F,"舞浜,篠宮,黒井,永吉",1,100,1,,
0241,lecture_0241,選択,F,"professor_C,徳川",1,200,1,,
0242,lecture_0242,選択,A,"teacher_L,四条",1,80,1,,
0243,lecture_0243,選択,"A,F,P,AS","伴田,高坂",1,70,1,,
0244,lecture_0244,選択,"AS,F,A,P","野々原,天海,木下,箱崎",1,70,1,,
0245,lecture_0245,選択,F,professor_B,1,100,1,,
0246,lecture_0246,選択,AS,"福田,Julia,横山",1,70,2,G号館_005,
0247,lecture_0247,選択,A,"百瀬,北沢",1,200,1,,
0248,lecture_0248,選択,"A,AS","田中,高山,北沢,佐竹",1,70,1,,
0249,lecture_0249,必須,P,"春日,高木,professor_B,木下",2,70,2,,
0250,lecture_0250,選択,"F,AS,A","伊吹,teacher_L,Stewart,徳川",1,70,1,,
