授業コード,講義名,種別,対象コース,担当教員,コマ数,推定受講者数,開講期,特定使用教室,連続数
0251,lecture_0251,選択,P,"松田,矢吹,徳川,宮尾",1,80,1,,
0252,lecture_0252,選択,"F,A,AS,P","双海,北沢,横山,永吉",1,100,2,,
0253,lecture_0253,選択,A,"Stewart,高槻,百瀬",1,80,1,,
0254,lecture_0254,選択,"F,AS,A,P",teacher_K,1,100,1,,
0255,lecture_0255,選択,"F,AS,P,A","白石,矢吹,菊池",2,80,1,,
0256,lecture_0256,必須,"F,AS","音無,春日,teacher_N",2,50,2,,
0257,lecture_0257,選択,A,"四条,professor_F,teacher_K,professor_B",1,80,1,,
0258,lecture_0258,選択,"P,AS,A,F","秋月,松田",1,300,1,,
0259,lecture_0259,必須,"F,P","三浦,馬場,舞浜",1,80,1,,
0260,lecture_0260,選択,A,"白石,北沢",1,100,1,,
0261,lecture_0261,選択,AS,"professor_G,高坂,professor_C",1,80,2,,
0262,lecture_0262,選択,"P,AS,F","gengen,teacher_L,野々原,teacher_J",1,80,1,,
0263,lecture_0263,選択,P,四条,1,100,2,,
0264,lecture_0264,選択,A,"百瀬,teacher_J",1,70,1,,
0265,lecture_0265,選択,"AS,A,P","如月,福田",2,70,1,G号館_005,
0266,lecture_0266,必須,P,"中谷,professor_D,teacher_K",1,200,2,,
0267,lecture_0267,選択,"AS,F","高槻,professor_G",1,100,1,,
0268,lecture_0268,選択,"AS,A","Julia,豊川",1,50,2,,
0269,lecture_0269,選択,F,"望月,二階堂,天海",2,70,1,,
0270,lecture_0270,選択,"F,A,P","teacher_J,宮尾",2,100,2,,
0271,lecture_0271,選択,"P,F","我那覇,真壁,teacher_H,舞浜",1,80,1,,
0272,lecture_0272,選択,"AS,F,A","矢吹,春日,北上,大神",1,70,2,,
0273,lecture_0273,選択,"F,AS",周防,1,70,1,,
0274,lecture_0274,必須,F,"最上,professor_B,大神",2,80,1,,
0275,lecture_0275,選択,"A,F,P,AS","高槻,徳川,天空橋",1,80,2,,
0276,lecture_0276,必須,AS,"二階堂,大神",2,70,1,,
0277,lecture_0277,選択,"P,A,AS","北上,徳川,木下,professor_D",1,80,2,,
0278,lecture_0278,選択,F,"百瀬,青羽,teacher_H,Stewart",1,70,2,,
0279,lecture_0279,選択,"AS,F,A,P","百瀬,teacher_H,最上",1,70,3,,
0280,lecture_0280,選択,P,"矢吹,professor_C,佐竹,豊川",1,80,2,,
0281,lecture_0281,選択,AS,"水瀬,teacher_J",1,70,3,,
0282,lecture_0282,必須,"F,AS,A","二階堂,高坂,馬場,teacher_L",1,70,2,F号館_006,
0283,lecture_0283,選択,F,"gengen,菊池",1,150,2,,
0284,lecture_0284,選択,F,"横山,黒井,水瀬,舞浜",1,70,1,,
0285,lecture_0285,選択,P,"teacher_K,professor_F,professor_D",1,80,1,,
0286,lecture_0286,選択,F,"黒井,白石",1,150,2,,
0287,lecture_0287,選択,P,"大神,teacher_H,音無,田中",1,70,2,,
0288,lecture_0288,選択,P,"矢吹,天空橋,馬場",1,80,2,,
0289,lecture_0289,選択,"AS,P,F","professor_F,豊川,北上",1,70,1,,
0290,lecture_0290,選択,P,"teacher_I,二階堂,teacher_K,天海",1,100,1,,
0291,lecture_0291,選択,"A,F,AS","豊川,高木,松田,七尾",2,70,2,,
0292,lecture_0292,選択,P,"如月,professor_E",2,80,2,,
0293,lecture_0293,選択,P,黒井,1,70,2,,
0294,lecture_0294,選択,P,"professor_A,高槻,高木",2,70,2,,
0295,lecture_0295,選択,A,"矢吹,舞浜,professor_D,宮尾",1,70,2,,
0296,lecture_0296,選択,F,"望月,我那覇,三浦,professor_A",1,70,2,,
0297,lecture_0297,選択,P,"professor_C,professor_D,望月",1,80,3,,
0298,lecture_0298,選択,P,"professor_A,星井,professor_C",1,70,3,,
0299,lecture_0299,選択,P,teacher_J,1,70,2,,
0300,lecture_0300,選択,"AS,A,P","青羽,Stewart,professor_A,teacher_I",1,100,2,,
0301,lecture_0301,選択,"AS,F,A,P","永吉,七尾",1,70,2,,
0302,lecture_0302,選択,"P,F,AS,A",田中,1,70,2,,
0303,lecture_0303,選択,"P,F,AS","三浦,七尾",2,80,2,,
0304,lecture_0304,選択,"P,F,A","二階堂,高木,松田,星井",1,70,2,,
0305,lecture_0305,選択,"F,A","永吉,teacher_I,teacher_K,百瀬",1,70,1,,
0306,lecture_0306,選択,"F,A,P","大神,teacher_L",1,80,1,,
0307,lecture_0307,選択,P,"teacher_M,professor_B,桜守,宮尾",1,70,2,,
0308,lecture_0308,選択,"AS,A,F,P","teacher_H,周防,伴田,Stewart",1,70,1,,
0309,lecture_0309,選択,"F,A",二階堂,2,100,1,,
0310,lecture_0310,選択,AS,"篠宮,三浦,最上,professor_G",1,100,1,,
0311,lecture_0311,選択,F,"teacher_H,七尾,水瀬",1,100,2,,
0312,lecture_0312,必須,F,"天空橋,音無",1,80,1,,
0313,lecture_0313,選択,A,professor_G,1,70,3,,
0314,lecture_0314,必須,F,"周防,高坂,professor_B,双海",1,150,2,,
0315,lecture_0315,選択,AS,"秋月,高槻",1,200,1,,
0316,lecture_0316,必須,A,"teacher_K,双海,teacher_L",1,100,1,,
0317,lecture_0317,選択,"P,A,AS,F","春日,Stewart,百瀬,箱崎",1,70,1,,
0318,lecture_0318,選択,A,"田中,伊吹",2,70,2,,
0319,lecture_0319,必須,F,"音無,四条",1,70,2,,
0320,lecture_0320,選択,"A,F","徳川,萩原,teacher_N,木下",1,100,2,,
0321,lecture_0321,選択,AS,"舞浜,菊池,我那覇,高槻",1,70,1,,
0322,lecture_0322,選択,P,"春日,佐竹,teacher_H,天海",1,80,2,,
0323,lecture_0323,選択,"F,AS,P,A",professor_D,2,70,2,,
0324,lecture_0324,選択,"F,P","professor_A,横山",1,70,1,,
0325,lecture_0325,必須,"A,AS","我那覇,伊吹",1,70,1,,
0326,lecture_0326,選択,P,"teacher_M,teacher_H,北沢",1,70,1,,
0327,lecture_0327,選択,AS,"松田,双海",1,80,1,,
0328,lecture_0328,選択,AS,"音無,島原",3,80,2,,
0329,lecture_0329,選択,"F,P",七尾,1,100,2,,
0330,lecture_0330,選択,A,"田中,七尾",1,100,1,,
0331,lecture_0331,選択,A,島原,1,100,3,,
0332,lecture_0332,必須,"A,P",北上,1,100,1,,
0333,lecture_0333,選択,P,"teacher_M,百瀬",2,70,1,,
0334,lecture_0334,選択,"AS,P,F","松田,中谷",1,300,1,,
0335,lecture_0335,選択,A,"professor_D,星井",1,150,2,,
0336,lecture_0336,必須,P,"望月,島原,松田",1,200,3,,
0337,lecture_0337,選択,F,"佐竹,北沢",1,70,1,,
0338,lecture_0338,選択,"AS,P,F,A","teacher_K,所,高槻,宮尾",1,80,1,,
0339,lecture_0339,必須,A,"萩原,teacher_M,周防,木下",2,70,1,,
0340,lecture_0340,選択,"A,AS,F,P",青羽,1,80,2,,
0341,lecture_0341,選択,"P,A,F,AS","Julia,秋月,永吉",1,100,1,,
0342,lecture_0342,選択,A,"白石,宮尾,周防,百瀬",1,50,2,,
0343,lecture_0343,選択,AS,高槻,1,70,1,,
0344,lecture_0344,選択,A,"松田,篠宮,最上,豊川",1,70,2,,
0345,lecture_0345,選択,"A,P,AS","七尾,春日",1,70,1,,
0346,lecture_0346,選択,A,"秋月,真壁,professor_G",1,100,2,,
0347,lecture_0347,選択,P,"百瀬,七尾,菊池,伊吹",1,70,1,,
0348,lecture_0348,選択,"A,AS","横山,七尾",1,70,2,,
0349,lecture_0349,必須,A,"篠宮,大神,桜守",1,70,1,,
0350,lecture_0350,選択,"F,A,P","篠宮,舞浜",1,100,1,,
0351,lecture_0351,選択,P,松田,2,100,2,,
0352,lecture_0352,選択,F,"中谷,天海,最上,白石",1,70,1,,
0353,lecture_0353,選択,A,"professor_E,天海",1,80,1,,
0354,lecture_0354,必須,"A,AS,P","高木,professor_F,木下,篠宮",1,200,2,,
0355,lecture_0355,選択,P,"横山,teacher_L,松田,所",1,80,2,,
0356,lecture_0356,選択,"F,P,A","teacher_I,横山,伊吹",1,70,1,,
0357,lecture_0357,必須,A,"木下,professor_E,高坂,高槻",1,100,1,,
0358,lecture_0358,選択,"A,P,AS,F","音無,豊川,二階堂,横山",1,70,1,,
0359,lecture_0359,選択,"F,A,AS,P","teacher_L,双海,professor_F",1,80,1,,
0360,lecture_0360,選択,AS,"伴田,teacher_M,萩原,四条",1,80,2,,
0361,lecture_0361,選択,A,"professor_C,宮尾",2,70,1,,
0362,lecture_0362,選択,A,"永吉,professor_C,中谷",1,70,1,,
0363,lecture_0363,選択,AS,"宮尾,望月",1,70,3,,
0364,lecture_0364,選択,A,"professor_D,高坂,佐竹,音無",1,80,1,,
0365,lecture_0365,選択,"P,AS,F,A",北上,1,70,2,,
0366,lecture_0366,選択,"AS,A","Julia,professor_F,桜守,天空橋",1,70,2,,
0367,lecture_0367,選択,AS,"福田,徳川",1,100,1,,
0368,lecture_0368,必須,A,"秋月,白石",1,70,2,,
0369,lecture_0369,選択,P,豊川,2,80,2,,
0370,lecture_0370,選択,"A,P,AS,F","三浦,島原,真壁,professor_A",1,80,1,,
0371,lecture_0371,選択,F,"professor_C,豊川,teacher_H",2,70,1,,
0372,lecture_0372,選択,"AS,P","福田,周防",1,80,1,,
0373,lecture_0373,必須,"AS,P","teacher_M,島原,gengen",1,80,1,,
0374,lecture_0374,選択,"A,F,P,AS",高槻,1,80,2,,
0375,lecture_0375,選択,"F,AS","二階堂,gengen,三浦,高木",1,70,2,,
0376,lecture_0376,選択,"P,AS","最上,中谷",2,70,1,,
0377,lecture_0377,選択,P,"我那覇,島原,北上,北沢",1,70,2,,
0378,lecture_0378,選択,P,"高山,如月",1,70,1,,
0379,lecture_0379,選択,A,"高木,teacher_N,百瀬,黒井",1,70,1,,
0380,lecture_0380,選択,"P,F","professor_G,田中,白石,高坂",1,70,2,,
0381,lecture_0381,選択,AS,"professor_A,北上",1,100,1,,
0382,lecture_0382,選択,"A,F","teacher_K,如月",1,150,3,,
0383,lecture_0383,選択,"AS,F,A,P","菊池,professor_D",1,70,1,,
0384,lecture_0384,選択,F,"馬場,宮尾,professor_D,田中",1,70,1,,
0385,lecture_0385,選択,P,"中谷,徳川",1,70,1,,
0386,lecture_0386,必須,"AS,P,F,A","高坂,宮尾,professor_F",2,70,2,,
0387,lecture_0387,必須,"A,AS,F","伊吹,teacher_M,青羽,professor_A",1,70,1,,
0388,lecture_0388,選択,A,"篠宮,teacher_I,豊川,teacher_K",1,300,1,,
0389,lecture_0389,選択,AS,"如月,高槻,三浦",1,100,1,,
0390,lecture_0390,選択,"A,P","中谷,黒井,天海,桜守",1,80,1,,
0391,lecture_0391,選択,AS,"professor_A,木下,北沢,黒井",1,80,2,,
0392,lecture_0392,選択,"F,AS,A,P","中谷,Stewart,野々原",1,80,2,,
0393,lecture_0393,選択,AS,"teacher_I,福田,teacher_M",1,80,1,,
0394,lecture_0394,選択,F,"二階堂,横山",1,80,2,,
0395,lecture_0395,選択,"A,AS,F","徳川,福田,望月",1,70,1,,
0396,lecture_0396,選択,F,"最上,徳川,teacher_H,舞浜",1,80,1,,
0397,lecture_0397,選択,A,"professor_E,professor_G,高坂",1,100,2,,
0398,lecture_0398,選択,"P,F,AS","二階堂,星井,音無",1,70,2,,
0399,lecture_0399,必須,"AS,P,A,F","teacher_N,篠宮",2,100,2,,
0400,lecture_0400,選択,F,七尾,1,70,1,,
0401,lecture_0401,必須,AS,"木下,春日,二階堂",1,300,1,,
0402,lecture_0402,選択,"P,A","teacher_H,北沢",1,80,2,,
0403,lecture_0403,選択,AS,"teacher_H,音無,高坂",1,80,2,,
0404,lecture_0404,選択,"AS,P",teacher_H,1,70,1,,
0405,lecture_0405,選択,AS,"横山,二階堂",1,80,1,,
0406,lecture_0406,必須,F,"高木,高槻,professor_G",1,70,1,,
0407,lecture_0407,選択,"F,AS","北沢,真壁,三浦",1,80,1,,
0408,lecture_0408,選択,"A,AS,F","我那覇,篠宮",2,70,2,,
0409,lecture_0409,必須,A,"七尾,二階堂",1,80,1,,
0410,lecture_0410,選択,F,"矢吹,舞浜,professor_B,teacher_N",2,100,3,,
0411,lecture_0411,選択,AS,"百瀬,島原,豊川",1,100,1,,
0412,lecture_0412,選択,AS,"白石,横山,田中",1,100,1,,
0413,lecture_0413,選択,A,"望月,伊吹,professor_G",1,100,1,,
0414,lecture_0414,選択,"P,F","Julia,春日,北沢",1,70,1,,
0415,lecture_0415,選択,A,篠宮,1,70,1,,
0416,lecture_0416,選択,AS,"三浦,professor_D,矢吹",1,70,2,,
0417,lecture_0417,選択,AS,"Julia,百瀬,大神,伊吹",1,150,2,,
0418,lecture_0418,選択,P,"周防,天海,箱崎",1,70,1,,
0419,lecture_0419,選択,"P,A,F","中谷,professor_E,矢吹",1,200,1,,
0420,lecture_0420,選択,"AS,F,P","島原,周防,田中",1,100,3,,
0421,lecture_0421,選択,"AS,P,A,F","高山,所,豊川,福田",1,70,2,,
0422,lecture_0422,選択,"F,P,A,AS",professor_G,1,70,2,,
0423,lecture_0423,選択,F,"星井,横山,春日",1,70,1,,
0424,lecture_0424,選択,A,"大神,Stewart",3,70,2,,
0425,lecture_0425,選択,P,"真壁,矢吹,星井,professor_E",2,70,1,,
0426,lecture_0426,選択,"AS,P",中谷,2,100,2,,
0427,lecture_0427,選択,AS,"professor_C,我那覇",1,80,2,,
0428,lecture_0428,選択,A,"天空橋,篠宮,望月,我那覇",1,50,2,,
0429,lecture_0429,必須,F,七尾,1,70,2,,
0430,lecture_0430,選択,P,"professor_G,teacher_N",1,150,2,,
0431,lecture_0431,必須,A,"伊吹,矢吹,箱崎,徳川",1,70,2,,
0432,lecture_0432,選択,"P,A,AS,F","馬場,professor_A,gengen",1,70,2,,
0433,lecture_0433,選択,A,Stewart,1,70,2,,
0434,lecture_0434,必須,"A,F","島原,所",1,80,2,,
0435,lecture_0435,選択,P,"青羽,我那覇",1,70,2,,
0436,lecture_0436,選択,AS,"音無,水瀬,professor_E",1,70,2,,
0437,lecture_0437,選択,AS,秋月,1,70,2,,
0438,lecture_0438,選択,"F,A","宮尾,松田,黒井,teacher_I",1,70,1,,
0439,lecture_0439,選択,AS,大神,1,70,2,,
0440,lecture_0440,選択,"A,F,P",馬場,3,80,2,,
0441,lecture_0441,選択,A,"中谷,百瀬",1,70,1,,
0442,lecture_0442,選択,"P,AS,A","馬場,teacher_K",1,200,2,,
0443,lecture_0443,選択,"F,P","professor_D,木下",2,100,3,,
0444,lecture_0444,選択,AS,"professor_G,teacher_K",1,70,1,,
0445,lecture_0445,選択,A,"青羽,天空橋,professor_D",1,70,1,,
0446,lecture_0446,選択,F,"菊池,野々原,最上",1,70,2,,
0447,lecture_0447,選択,"P,AS,A,F","二階堂,高木",1,70,2,,
0448,lecture_0448,選択,A,"百瀬,我那覇",1,70,1,,
0449,lecture_0449,選択,"F,A,P","professor_E,四条,北上",1,200,2,,
0450,lecture_0450,選択,A,"teacher_L,伊吹",2,100,1,,
0451,lecture_0451,選択,F,"豊川,篠宮,teacher_M",1,70,1,,
0452,lecture_0452,選択,"AS,P","teacher_K,professor_F",1,150,2,,
0453,lecture_0453,選択,F,"伊吹,四条",1,80,1,,
0454,lecture_0454,選択,"P,AS,A","萩原,北沢",1,70,1,,
0455,lecture_0455,選択,A,"百瀬,我那覇,真壁,豊川",1,80,2,,
0456,lecture_0456,選択,"P,A,F,AS",天空橋,1,80,2,,
0457,lecture_0457,選択,P,"七尾,黒井",1,80,2,,
0458,lecture_0458,選択,"A,P,AS",高坂,1,70,1,,
0459,lecture_0459,選択,"P,AS,A,F",中谷,1,70,2,,
0460,lecture_0460,選択,A,"teacher_N,福田,professor_A,中谷",1,70,1,,
0461,lecture_0461,選択,P,星井,1,70,1,,
0462,lecture_0462,必須,P,"Julia,七尾",1,80,1,,
0463,lecture_0463,選択,"P,F,AS,A","宮尾,秋月,伴田",1,80,2,,
0464,lecture_0464,選択,AS,"teacher_L,gengen,professor_B,四条",1,80,1,,
0465,lecture_0465,選択,F,"天海,周防,四条",1,70,1,,
0466,lecture_0466,選択,P,"永吉,teacher_H",1,70,1,,
0467,lecture_0467,選択,"F,AS,P","高木,舞浜,天空橋",1,70,2,,
0468,lecture_0468,選択,F,舞浜,1,70,1,,
0469,lecture_0469,選択,A,"黒井,桜守,星井",1,70,2,,
0470,lecture_0470,選択,F,professor_C,1,70,1,,
0471,lecture_0471,選択,"F,P,A","豊川,篠宮,四条,佐竹",1,50,2,,
0472,lecture_0472,選択,AS,"野々原,如月,島原",1,200,2,G号館_005,
0473,lecture_0473,選択,AS,"三浦,teacher_I,真壁",1,70,2,,
0474,lecture_0474,選択,AS,"白石,永吉,professor_G,横山",1,80,2,,
0475,lecture_0475,選択,"P,A","teacher_N,北沢,馬場",1,70,1,,
0476,lecture_0476,選択,F,青羽,1,70,1,,
0477,lecture_0477,必須,"P,AS,A,F","二階堂,高槻",1,80,1,,
0478,lecture_0478,選択,"P,F","白石,黒井,永吉",1,80,1,,
0479,lecture_0479,選択,"F,A,P,AS",福田,1,70,1,,
0480,lecture_0480,選択,P,"四条,teacher_I,伊吹,箱崎",1,80,2,,
0481,lecture_0481,必須,"A,AS,P,F","松田,teacher_N,teacher_L",1,70,2,,
0482,lecture_0482,必須,AS,"春日,箱崎,福田,青羽",1,70,3,,
0483,lecture_0483,選択,A,"teacher_H,田中,双海,豊川",1,70,1,,
0484,lecture_0484,選択,"P,AS,F,A","福田,菊池,三浦",1,70,2,,
0485,lecture_0485,選択,F,"我那覇,大神,周防",1,70,2,,
0486,lecture_0486,必須,"F,P","徳川,teacher_L,professor_D,teacher_K",1,80,1,,
0487,lecture_0487,必須,F,"高坂,天海,gengen,松田",1,70,2,,
0488,lecture_0488,選択,F,"teacher_I,秋月,最上",1,100,1,,
0489,lecture_0489,選択,"A,P","百瀬,星井",1,100,2,,
0490,lecture_0490,選択,AS,"北沢,teacher_H,大神,佐竹",1,50,2,,
0491,lecture_0491,選択,F,箱崎,2,80,1,,
0492,lecture_0492,選択,AS,"水瀬,矢吹",1,70,2,,
0493,lecture_0493,選択,F,"木下,高山,伊吹",1,70,1,,
0494,lecture_0494,選択,F,"白石,伊吹",1,200,1,,
0495,lecture_0495,選択,P,"天空橋,春日,最上,高木",1,70,2,,
0496,lecture_0496,選択,F,菊池,1,70,1,,
0497,lecture_0497,選択,A,"七尾,黒井,teacher_H,宮尾",1,200,2,,
0498,lecture_0498,選択,AS,"桜守,永吉,伴田",1,80,1,,
0499,lecture_0499,選択,"P,F","青羽,professor_A,我那覇",1,70,2,,
0500,lecture_0500,選択,F,"永吉,大神,真壁",1,70,2,,
